concept,method,layer,label,mmd2
chubby,diff_means,0,pos,0.4578583835675497
chubby,diff_means,0,neg,0.4735115578203165
chubby,diff_means,1,pos,0.20757828047443727
chubby,diff_means,1,neg,0.1787004803824499
chubby,diff_means,2,pos,0.3452651745263122
chubby,diff_means,2,neg,0.35170405422799833
chubby,diff_means,3,pos,1.2277775599861522
chubby,diff_means,3,neg,1.2675395768738895
chubby,diff_means,4,pos,0.8703494305525717
chubby,diff_means,4,neg,0.9795095979994415
chubby,diff_means,5,pos,0.5719636870984404
chubby,diff_means,5,neg,0.6746572099898231
chubby,diff_means,6,pos,0.4425156543768556
chubby,diff_means,6,neg,0.4571782247838536
chubby,diff_means,7,pos,0.35790077385341856
chubby,diff_means,7,neg,0.34519674360931285
chubby,diff_means,8,pos,0.22710188535160425
chubby,diff_means,8,neg,0.21672284279445098
chubby,diff_means,9,pos,0.14590550042268258
chubby,diff_means,9,neg,0.1289587146130795
chubby,diff_means,10,pos,0.11999665222551226
chubby,diff_means,10,neg,0.10147123535046632
chubby,diff_means,11,pos,0.09195459951713802
chubby,diff_means,11,neg,0.08160241725491013
chubby,diff_means,12,pos,0.08767145648352859
chubby,diff_means,12,neg,0.0826487526657762
chubby,diff_means,13,pos,0.07269813964714378
chubby,diff_means,13,neg,0.06611258541901299
chubby,diff_means,14,pos,0.06115186111166859
chubby,diff_means,14,neg,0.0608334019340413
chubby,diff_means,15,pos,0.054071396930178484
chubby,diff_means,15,neg,0.04565736995455971
chubby,diff_means,16,pos,0.05310332581239563
chubby,diff_means,16,neg,0.03717900636677918
chubby,diff_means,17,pos,0.039843984607353056
chubby,diff_means,17,neg,0.03622180805560604
chubby,diff_means,18,pos,0.04282442493912697
chubby,diff_means,18,neg,0.028724648470331626
chubby,diff_means,19,pos,0.02846086064787956
chubby,diff_means,19,neg,0.018309809522822018
chubby,diff_means,20,pos,0.020466291707320394
chubby,diff_means,20,neg,0.019028032367653713
chubby,diff_means,21,pos,0.02184387918680386
chubby,diff_means,21,neg,0.010806773869536768
chubby,diff_means,22,pos,0.010191643525882643
chubby,diff_means,22,neg,0.00928441588321749
chubby,diff_means,23,pos,0.009962801309165048
chubby,diff_means,23,neg,0.0054267854292116
chubby,lr,0,pos,0.0
chubby,lr,0,neg,0.0
chubby,lr,1,pos,0.0
chubby,lr,1,neg,0.0
chubby,lr,2,pos,0.0
chubby,lr,2,neg,0.0
chubby,lr,3,pos,0.0
chubby,lr,3,neg,0.0
chubby,lr,4,pos,0.0
chubby,lr,4,neg,0.0
chubby,lr,5,pos,0.0
chubby,lr,5,neg,0.0
chubby,lr,6,pos,0.018964625989620787
chubby,lr,6,neg,0.011947553819128265
chubby,lr,7,pos,0.07271116658052756
chubby,lr,7,neg,0.0508643704199534
chubby,lr,8,pos,0.030408107352120073
